name,spec,price,link
Gite with pool to let in rural Dordogne - AD005979,"Bedrooms 3, Sleeps 8",£665 to £1610 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005979/index.htm
Large luxury house with pool near Chabanais - PC004501,"Bedrooms 4, Sleeps 8, Ratings 4 9.8/10",£1400 to £2000 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004501/index.htm
Holiday cottage near beaches in Brittany - BI002625,"Bedrooms 4, Sleeps 10, Ratings 3 9.4/10",£1000 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI002625/index.htm
"Renovated breton cottage to let, Finistère - BF004245","Bedrooms 2, Sleeps 6, Ratings 2 9.7/10",£250 to £380 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF004245/index.htm
Self catering farmhouse holidays Vendee - LV000917,"Bedrooms 4, Sleeps 10, Ratings 5 9.8/10",£795 to £1350 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV000917/index.htm
"Three bed gite to let, pool, Western Loire - LV007625","Bedrooms 3, Sleeps 8",£700 to £1250 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007625/index.htm
Villa to let on Mediterranean coast - RA004287,"Bedrooms 2, Sleeps 6, Ratings 3 9.8/10",£395 to £595 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA004287/index.htm
"Normandy Holiday Cottage Rental, Le Teilleul - NM007714","Bedrooms 4, Sleeps 8",£550 to £850 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007714/index.htm
Cottage for holiday rental Charente Maritime - PM003292_A,"Bedrooms 2, Sleeps 4",£500 to £895 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003292_A/index.htm
Holiday cottage for 4 in Ariege - MA005275,"Bedrooms 2, Sleeps 4",£350 to £800 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/MA005275/index.htm
Gite to let with a pool in the Vendee - LV007312,"Bedrooms 4, Sleeps 10",£580 to £1400 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007312/index.htm
Large holiday let in rural Normandy Manche - NM005429,"Bedrooms 3, Sleeps 6, Ratings 1 9.5/10",£560 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005429/index.htm
"Gite to let with private pool, Midi Pyrenees - MT007427","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£799 to £1299 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/MT007427/index.htm
3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_A,"Bedrooms 12, Sleeps 24, Ratings 1 10/10",£385 to £795 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM002654_A/index.htm
"Chateau rental nr Pons, Charente Maritime - PM001976_A","Bedrooms 19, Sleeps 38",€1550 to €5050 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM001976_A/index.htm
"Rural cottage in Picardy, Nord Pas de Calais - DP003498","Bedrooms 2, Sleeps 5, Ratings 7 10/10",£400 to £650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/DP003498/index.htm
Charming gite to let in Poitou Charentes - PC006469,"Bedrooms 1, Sleeps 2, Ratings 1 10/10",£335 to £470 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006469/index.htm
Holiday gite for let in Brittany - BM005177_C,"Bedrooms 3, Sleeps 6, Ratings 8 9.8/10",£500 to £1000 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM005177_C/index.htm
Fully Equipped Holiday gite for 2 in Dordogne - AD007050,"Bedrooms 1, Sleeps 2",£529 to £925 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007050/index.htm
Peaceful cottage to let in the Vendee - LV007320,"Bedrooms 2, Sleeps 4",£372 to £791 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007320/index.htm
"Family cottage with lovely views, Brossac - PC005615","Bedrooms 3, Sleeps 6",£399 to £999 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005615/index.htm
Holiday cottage in Brittany - BM004444_D,"Bedrooms 1, Sleeps 4",£396 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM004444_D/index.htm
"Large holiday let - pool & Jacuzzi, Aquitaine - AT005396","Bedrooms 6, Sleeps 14, Ratings 2 10/10",£1205 to £2315 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005396/index.htm
Pretty cottage to let in Charente Maritime - PM005844,"Bedrooms 2, Sleeps 4, Ratings 6 9.4/10",£555 to £955 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005844/index.htm
"Holiday cottage in Brittany, beaches 30 mins - BM003914","Bedrooms 2, Sleeps 8, Ratings 2 9.8/10",£490 to £595 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003914/index.htm
Holiday cottage with large pool near Matha - PM004717,"Bedrooms 2, Sleeps 4",£225 to £725 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM004717/index.htm
